university,supermarket,distance
uach-mf,acuenta_1,4162
uach-mf,acuenta_2,4228
uach-mf,acuenta_3,3291
uach-mf,eltit_1,2174
uach-mf,eltrebol_1,3066
uach-mf,eltrebol_2,4803
uach-mf,jumbo_1,3102
uach-mf,santaisabel_1,2713
uach-mf,santaisabel_2,4868
uach-mf,unimarc_1,2845
uach-mf,unimarc_2,2584
uach-mf,unimarc_3,2297
uach-mf,unimarc_4,4034
uach-teja,acuenta_1,6269
uach-teja,acuenta_2,5225
uach-teja,acuenta_3,2614
uach-teja,eltit_1,2079
uach-teja,eltrebol_1,5283
uach-teja,eltrebol_2,6674
uach-teja,jumbo_1,2798
uach-teja,santaisabel_1,1823
uach-teja,santaisabel_2,5865
uach-teja,unimarc_1,4940
uach-teja,unimarc_2,2245
uach-teja,unimarc_3,1444
uach-teja,unimarc_4,4039
uss,acuenta_1,4249
uss,acuenta_2,3730
uss,acuenta_3,1975
uss,eltit_1,858
uss,eltrebol_1,3153
uss,eltrebol_2,4890
uss,jumbo_1,1785
uss,santaisabel_1,1397
uss,santaisabel_2,4370
uss,unimarc_1,2932
uss,unimarc_2,1267
uss,unimarc_3,980
uss,unimarc_4,3028
ust,acuenta_1,3998
ust,acuenta_2,2515
ust,acuenta_3,619
ust,eltit_1,1128
ust,eltrebol_1,3471
ust,eltrebol_2,3964
ust,jumbo_1,422
ust,santaisabel_1,937
ust,santaisabel_2,3155
ust,unimarc_1,2678
ust,unimarc_2,802
ust,unimarc_3,1405
ust,unimarc_4,1326
inacap,acuenta_1,6058
inacap,acuenta_2,4529
inacap,acuenta_3,3264
inacap,eltit_1,3773
inacap,eltrebol_1,5527
inacap,eltrebol_2,5978
inacap,jumbo_1,2805
inacap,santaisabel_1,3582
inacap,santaisabel_2,5169
inacap,unimarc_1,4738
inacap,unimarc_2,3447
inacap,unimarc_3,4049
inacap,unimarc_4,1377
